,0
2011-05-23 12:00:00,2
2011-05-24 00:00:00,5
2011-05-24 12:00:00,6
2011-05-25 00:00:00,1
2011-05-25 12:00:00,2
2011-05-26 00:00:00,2
2011-05-26 12:00:00,3
2011-05-27 00:00:00,1
2011-05-27 12:00:00,4
2011-05-28 00:00:00,6
2011-05-28 12:00:00,3
2011-05-29 00:00:00,5
2011-05-29 12:00:00,0
2011-05-30 00:00:00,2
2011-05-30 12:00:00,4
2011-05-31 00:00:00,2
2011-05-31 12:00:00,5
2011-06-01 00:00:00,4
2011-06-01 12:00:00,2
2011-06-02 00:00:00,3
2011-06-02 12:00:00,2
2011-06-03 00:00:00,4
2011-06-03 12:00:00,1
2011-06-04 00:00:00,4
2011-06-04 12:00:00,2
2011-06-05 00:00:00,1
2011-06-05 12:00:00,1
2011-06-06 00:00:00,3
2011-06-06 12:00:00,3
2011-06-07 00:00:00,4
2011-06-07 12:00:00,0
2011-06-08 00:00:00,2
2011-06-08 12:00:00,1
2011-06-09 00:00:00,3
2011-06-09 12:00:00,3
2011-06-10 00:00:00,1
2011-06-10 12:00:00,4
2011-06-11 00:00:00,5
2011-06-11 12:00:00,4
2011-06-12 00:00:00,2
2011-06-12 12:00:00,1
2011-06-13 00:00:00,4
2011-06-13 12:00:00,3
2011-06-14 00:00:00,0
2011-06-14 12:00:00,5
2011-06-15 00:00:00,1
2011-06-15 12:00:00,3
2011-06-16 00:00:00,2
2011-06-16 12:00:00,2
2011-06-17 00:00:00,1
2011-06-17 12:00:00,1
2011-06-18 00:00:00,3
2011-06-18 12:00:00,2
2011-06-19 00:00:00,1
2011-06-19 12:00:00,3
2011-06-20 00:00:00,2
2011-06-20 12:00:00,1
2011-06-21 00:00:00,1
2011-06-21 12:00:00,3
2011-06-22 00:00:00,1
2011-06-22 12:00:00,4
2011-06-23 00:00:00,3
2011-06-23 12:00:00,0
2011-06-24 00:00:00,1
2011-06-24 12:00:00,2
2011-06-25 00:00:00,4
2011-06-25 12:00:00,1
2011-06-26 00:00:00,1
2011-06-26 12:00:00,0
2011-06-27 00:00:00,0
2011-06-27 12:00:00,4
2011-06-28 00:00:00,3
2011-06-28 12:00:00,3
2011-06-29 00:00:00,0
2011-06-29 12:00:00,6
2011-06-30 00:00:00,0
2011-06-30 12:00:00,0
